gene	R2_batch	R2_group	uniq_batch	uniq_group	dominant
ENSMUSG00000116557	0.0290	0.0945	0.0345	0.1000	group
ENSMUSG00000007877	0.0003	0.0437	0.0003	0.0438	group
ENSMUSG00000053279	0.2290	0.0154	0.2336	0.0200	batch
ENSMUSG00000031380	0.0082	0.0010	0.0085	0.0013	batch
ENSMUSG00000038463	0.0858	0.0533	0.0794	0.0469	batch
ENSMUSG00000019762	0.0134	0.0239	0.0117	0.0222	group
ENSMUSG00000079845	0.0513	0.0276	0.0498	0.0261	batch
ENSMUSG00000025050	0.0612	0.0994	0.0692	0.1074	group
ENSMUSG00000043439	0.1389	0.0317	0.1375	0.0303	batch
ENSMUSG00000021733	0.1583	0.1058	0.1723	0.1198	batch
ENSMUSG00000038174	0.1894	0.0348	0.1981	0.0435	batch
ENSMUSG00000017756	0.0272	0.0884	0.0265	0.0876	group
ENSMUSG00000027971	0.0764	0.0107	0.0741	0.0084	batch
ENSMUSG00000030800	0.0722	0.0261	0.0690	0.0228	batch
ENSMUSG00000081684	0.5228	0.0402	0.5266	0.0439	batch
ENSMUSG00000084350	0.3779	0.0870	0.3894	0.0985	batch
ENSMUSG00000020782	0.0355	0.0659	0.0362	0.0666	group
ENSMUSG00000049928	0.0062	0.0935	0.0084	0.0956	group
ENSMUSG00000019787	0.1238	0.0936	0.1258	0.0957	batch
ENSMUSG00000042680	0.0113	0.0252	0.0097	0.0236	group
ENSMUSG00000025400	0.1012	0.0784	0.0925	0.0697	batch
ENSMUSG00000059852	0.5048	0.0019	0.5092	0.0063	batch
ENSMUSG00000039735	0.4211	0.0553	0.4364	0.0706	batch
ENSMUSG00000042096	0.0695	0.0153	0.0674	0.0132	batch
ENSMUSG00000116641	0.0409	0.0967	0.0453	0.1011	group
ENSMUSG00000073647	0.0009	0.0310	0.0011	0.0313	group
ENSMUSG00000003545	0.0206	0.0552	0.0243	0.0588	group
ENSMUSG00000034706	0.0042	0.1155	0.0049	0.1161	group
ENSMUSG00000044906	0.3136	0.0881	0.3313	0.1058	batch
ENSMUSG00000024066	0.1122	0.1104	0.1162	0.1144	batch
ENSMUSG00000081700	0.1699	0.0136	0.1695	0.0132	batch
ENSMUSG00000034402	0.0261	0.0004	0.0258	0.0001	batch
ENSMUSG00000055485	0.0004	0.0401	0.0008	0.0404	group
ENSMUSG00000048001	0.0283	0.2517	0.0291	0.2524	group
ENSMUSG00000034731	0.1553	0.0624	0.1652	0.0723	batch
ENSMUSG00000031283	0.1592	0.0719	0.1576	0.0704	batch
ENSMUSG00000041309	0.3775	0.0136	0.3838	0.0198	batch
ENSMUSG00000058897	0.0114	0.0160	0.0101	0.0147	group
ENSMUSG00000115692	0.1275	0.1309	0.1407	0.1441	group
ENSMUSG00000034156	0.1050	0.1218	0.1164	0.1333	group
ENSMUSG00000103761	0.0297	0.0745	0.0339	0.0786	group
ENSMUSG00000027070	0.1125	0.1344	0.1005	0.1224	group
ENSMUSG00000054409	0.0029	0.0198	0.0022	0.0192	group
ENSMUSG00000070601	0.0622	0.0860	0.0665	0.0903	group
ENSMUSG00000044499	0.0286	0.1231	0.0241	0.1186	group
ENSMUSG00000110529	0.1288	0.0671	0.1378	0.0761	batch
ENSMUSG00000049676	0.0814	0.0795	0.0878	0.0860	batch
ENSMUSG00000032625	0.0358	0.0094	0.0378	0.0115	batch
ENSMUSG00000000303	0.0509	0.0419	0.0548	0.0458	batch
ENSMUSG00000074259	0.2563	0.0065	0.2544	0.0046	batch
ENSMUSG00000031216	0.2397	0.0482	0.2510	0.0595	batch
ENSMUSG00000059742	0.5125	0.0214	0.5247	0.0336	batch
ENSMUSG00000032238	0.1471	0.0035	0.1498	0.0062	batch
ENSMUSG00000023484	0.0003	0.0774	0.0009	0.0780	group
ENSMUSG00000097885	0.0576	0.1348	0.0656	0.1428	group
ENSMUSG00000054958	0.0000	0.0365	0.0001	0.0365	group
ENSMUSG00000087445	0.0606	0.0358	0.0647	0.0398	batch
ENSMUSG00000063704	0.0001	0.0431	0.0003	0.0433	group
ENSMUSG00000022309	0.1976	0.1185	0.2102	0.1311	batch
ENSMUSG00000025946	0.0455	0.1036	0.0389	0.0970	group
ENSMUSG00000013523	0.0410	0.0173	0.0439	0.0202	batch
ENSMUSG00000046854	0.0629	0.0827	0.0675	0.0873	group
ENSMUSG00000074220	0.1201	0.0440	0.1143	0.0383	batch
ENSMUSG00000097750	0.2809	0.1321	0.2622	0.1134	batch
ENSMUSG00000048617	0.1339	0.1909	0.1491	0.2061	group
ENSMUSG00000079484	0.0737	0.0532	0.0789	0.0584	batch
ENSMUSG00000034218	0.0202	0.0391	0.0186	0.0375	group
ENSMUSG00000060586	0.0163	0.0071	0.0156	0.0064	batch
ENSMUSG00000049230	0.1802	0.0280	0.1734	0.0213	batch
ENSMUSG00000031557	0.0005	0.0215	0.0008	0.0217	group
ENSMUSG00000021903	0.0134	0.1108	0.0148	0.1122	group
ENSMUSG00000035860	0.0002	0.0978	0.0005	0.0980	group
ENSMUSG00000067768	0.1049	0.0292	0.1086	0.0329	batch
ENSMUSG00000026697	0.0543	0.0104	0.0565	0.0126	batch
ENSMUSG00000048677	0.0119	0.1615	0.0168	0.1663	group
ENSMUSG00000056972	0.0012	0.0147	0.0017	0.0151	group
ENSMUSG00000026604	0.0617	0.0611	0.0678	0.0672	batch
ENSMUSG00000021108	0.0418	0.0676	0.0414	0.0671	group
ENSMUSG00000055809	0.0003	0.0695	0.0004	0.0696	group
ENSMUSG00000089670	0.1678	0.0635	0.1755	0.0712	batch
ENSMUSG00000084898	0.1996	0.0262	0.1955	0.0222	batch
ENSMUSG00000031698	0.0242	0.0018	0.0239	0.0015	batch
ENSMUSG00000021754	0.0339	0.2442	0.0422	0.2526	group
ENSMUSG00000020604	0.0199	0.0877	0.0209	0.0888	group
ENSMUSG00000081232	0.0476	0.0080	0.0459	0.0064	batch
ENSMUSG00000052563	0.0202	0.0146	0.0220	0.0164	batch
ENSMUSG00000052221	0.0535	0.0576	0.0559	0.0600	group
ENSMUSG00000044017	0.0954	0.0014	0.0946	0.0005	batch
ENSMUSG00000111990	0.2491	0.0521	0.2601	0.0631	batch
ENSMUSG00000113425	0.1065	0.0580	0.1095	0.0611	batch
ENSMUSG00000026864	0.4947	0.0676	0.4774	0.0502	batch
ENSMUSG00000025138	0.0570	0.0849	0.0628	0.0907	group
ENSMUSG00000024659	0.0820	0.0049	0.0801	0.0031	batch
ENSMUSG00000091387	0.0146	0.0210	0.0148	0.0212	group
ENSMUSG00000029868	0.0833	0.0161	0.0867	0.0194	batch
ENSMUSG00000034684	0.0292	0.0209	0.0274	0.0191	batch
ENSMUSG00000034205	0.0001	0.0258	0.0001	0.0258	group
ENSMUSG00000021638	0.0391	0.0558	0.0358	0.0525	group
ENSMUSG00000034936	0.0026	0.0769	0.0015	0.0758	group
ENSMUSG00000028339	0.1315	0.1099	0.1445	0.1229	batch
ENSMUSG00000032744	0.0695	0.0563	0.0641	0.0509	batch
ENSMUSG00000102555	0.2230	0.1425	0.2420	0.1615	batch
ENSMUSG00000020863	0.2853	0.1165	0.3029	0.1341	batch
ENSMUSG00000021676	0.0686	0.0640	0.0621	0.0575	batch
ENSMUSG00000107182	0.1529	0.0385	0.1613	0.0470	batch
ENSMUSG00000030560	0.0024	0.0569	0.0017	0.0562	group
ENSMUSG00000115360	0.0770	0.0411	0.0808	0.0449	batch
ENSMUSG00000020014	0.0117	0.1056	0.0113	0.1053	group
ENSMUSG00000104002	0.1256	0.0087	0.1293	0.0124	batch
ENSMUSG00000042761	0.0003	0.0812	0.0009	0.0818	group
ENSMUSG00000029381	0.0606	0.1181	0.0575	0.1150	group
ENSMUSG00000087672	0.1772	0.0540	0.1878	0.0646	batch
ENSMUSG00000030549	0.0603	0.0790	0.0610	0.0798	group
ENSMUSG00000089756	0.0136	0.1061	0.0178	0.1103	group
ENSMUSG00000102602	0.1263	0.0938	0.1379	0.1054	batch
ENSMUSG00000095545	0.0294	0.0712	0.0251	0.0669	group
ENSMUSG00000020432	0.0019	0.0344	0.0019	0.0344	group
ENSMUSG00000087034	0.0070	0.0344	0.0065	0.0339	group
ENSMUSG00000055436	0.4551	0.0745	0.4744	0.0937	batch
ENSMUSG00000020282	0.0077	0.1028	0.0099	0.1050	group
ENSMUSG00000044393	0.0109	0.0843	0.0140	0.0874	group
ENSMUSG00000025255	0.0738	0.0380	0.0796	0.0437	batch
ENSMUSG00000050121	0.0372	0.0863	0.0398	0.0889	group
ENSMUSG00000110016	0.0168	0.0558	0.0200	0.0590	group
ENSMUSG00000107840	0.2450	0.0091	0.2487	0.0129	batch
ENSMUSG00000078185	0.4326	0.0398	0.4342	0.0414	batch
ENSMUSG00000044254	0.1361	0.0702	0.1270	0.0611	batch
ENSMUSG00000097042	0.1529	0.1085	0.1661	0.1217	batch
ENSMUSG00000029720	0.0006	0.0842	0.0015	0.0851	group
ENSMUSG00000039103	0.0006	0.0017	0.0007	0.0017	group
ENSMUSG00000033880	0.0058	0.1366	0.0054	0.1363	group
ENSMUSG00000072919	0.0071	0.1746	0.0046	0.1720	group
ENSMUSG00000048794	0.0000	0.0545	0.0001	0.0546	group
ENSMUSG00000024256	0.0334	0.1200	0.0274	0.1139	group
ENSMUSG00000050243	0.1132	0.0985	0.1035	0.0887	batch
ENSMUSG00000107877	0.1212	0.0547	0.1297	0.0632	batch
ENSMUSG00000022948	0.0211	0.0673	0.0251	0.0713	group
ENSMUSG00000025323	0.2624	0.0272	0.2718	0.0366	batch
ENSMUSG00000062729	0.0453	0.0614	0.0502	0.0663	group
ENSMUSG00000064367	0.4143	0.0149	0.4199	0.0205	batch
ENSMUSG00000032006	0.0069	0.0057	0.0063	0.0051	batch
ENSMUSG00000113309	0.0343	0.0533	0.0389	0.0578	group
ENSMUSG00000093384	0.1849	0.0545	0.1754	0.0449	batch
ENSMUSG00000032298	0.0480	0.0742	0.0541	0.0802	group
ENSMUSG00000072663	0.0334	0.0763	0.0297	0.0726	group
ENSMUSG00000055980	0.0010	0.0191	0.0015	0.0196	group
ENSMUSG00000044770	0.1244	0.0016	0.1238	0.0010	batch
ENSMUSG00000066090	0.0034	0.0633	0.0048	0.0647	group
ENSMUSG00000045672	0.0708	0.2991	0.0853	0.3136	group
ENSMUSG00000031246	0.5940	0.0310	0.6035	0.0405	batch
ENSMUSG00000086924	0.1973	0.0422	0.2072	0.0521	batch
ENSMUSG00000046186	0.0134	0.0730	0.0110	0.0706	group
ENSMUSG00000090873	0.0218	0.1962	0.0273	0.2016	group
ENSMUSG00000048905	0.0302	0.0505	0.0270	0.0474	group
ENSMUSG00000097286	0.0866	0.0387	0.0860	0.0381	batch
ENSMUSG00000027907	0.0410	0.0181	0.0416	0.0187	batch
ENSMUSG00000075224	0.2375	0.0286	0.2423	0.0334	batch
ENSMUSG00000032295	0.0579	0.0770	0.0632	0.0823	group
ENSMUSG00000061878	0.1126	0.0234	0.1163	0.0271	batch
ENSMUSG00000109575	0.3289	0.0339	0.3355	0.0405	batch
ENSMUSG00000035164	0.0023	0.0446	0.0033	0.0456	group
ENSMUSG00000054901	0.0006	0.0017	0.0006	0.0017	group
ENSMUSG00000045534	0.0917	0.0246	0.0871	0.0200	batch
ENSMUSG00000050201	0.1785	0.1206	0.1846	0.1266	batch
ENSMUSG00000079177	0.1170	0.0511	0.1253	0.0594	batch
ENSMUSG00000026199	0.0417	0.1224	0.0487	0.1294	group
ENSMUSG00000050822	0.0071	0.0708	0.0062	0.0699	group
ENSMUSG00000044468	0.0020	0.0274	0.0013	0.0267	group
ENSMUSG00000024175	0.0525	0.0384	0.0538	0.0398	batch
ENSMUSG00000040562	0.0029	0.0398	0.0035	0.0403	group
ENSMUSG00000035840	0.1948	0.0148	0.1928	0.0128	batch
ENSMUSG00000057729	0.0492	0.0860	0.0492	0.0859	group
ENSMUSG00000049791	0.0001	0.0201	0.0002	0.0201	group
ENSMUSG00000107996	0.1333	0.0513	0.1402	0.0582	batch
ENSMUSG00000035168	0.0630	0.0508	0.0577	0.0455	batch
ENSMUSG00000054659	0.2252	0.0203	0.2263	0.0214	batch
ENSMUSG00000062488	0.2189	0.0185	0.2166	0.0162	batch
ENSMUSG00000025739	0.3350	0.0360	0.3388	0.0399	batch
ENSMUSG00000092200	0.0004	0.0538	0.0002	0.0536	group
ENSMUSG00000038665	0.0000	0.0440	0.0002	0.0442	group
ENSMUSG00000025401	0.0081	0.0714	0.0106	0.0739	group
ENSMUSG00000056724	0.0916	0.2143	0.1063	0.2290	group
ENSMUSG00000054135	0.0631	0.0797	0.0706	0.0872	group
ENSMUSG00000028600	0.2388	0.0166	0.2459	0.0237	batch
ENSMUSG00000029524	0.0106	0.0714	0.0128	0.0735	group
ENSMUSG00000037206	0.0085	0.0159	0.0075	0.0149	group
ENSMUSG00000097683	0.0475	0.1026	0.0424	0.0975	group
ENSMUSG00000027335	0.4599	0.0264	0.4505	0.0170	batch
ENSMUSG00000039239	0.0303	0.0927	0.0253	0.0877	group
ENSMUSG00000085767	0.0272	0.1272	0.0335	0.1335	group
ENSMUSG00000031871	0.0533	0.1225	0.0533	0.1225	group
ENSMUSG00000114278	0.0021	0.1247	0.0030	0.1256	group
ENSMUSG00000037266	0.0385	0.1056	0.0437	0.1109	group
ENSMUSG00000097392	0.5339	0.1135	0.5608	0.1404	batch
ENSMUSG00000022436	0.0154	0.0566	0.0181	0.0593	group
ENSMUSG00000064294	0.0022	0.0095	0.0018	0.0091	group
ENSMUSG00000055540	0.0326	0.0712	0.0283	0.0669	group
ENSMUSG00000049107	0.0261	0.0564	0.0297	0.0600	group
ENSMUSG00000003746	0.0620	0.0196	0.0611	0.0187	batch
ENSMUSG00000022766	0.0235	0.0060	0.0239	0.0063	batch
ENSMUSG00000033799	0.0096	0.0498	0.0120	0.0522	group
ENSMUSG00000048960	0.0086	0.0183	0.0074	0.0171	group
ENSMUSG00000111594	0.0258	0.2335	0.0345	0.2422	group
ENSMUSG00000073879	0.1640	0.0112	0.1675	0.0147	batch
ENSMUSG00000021567	0.3436	0.0534	0.3315	0.0413	batch
ENSMUSG00000106067	0.1115	0.0271	0.1133	0.0290	batch
ENSMUSG00000030757	0.2599	0.0400	0.2701	0.0502	batch
ENSMUSG00000029648	0.0247	0.1486	0.0282	0.1521	group
ENSMUSG00000050473	0.0495	0.0517	0.0506	0.0529	group
ENSMUSG00000118425	0.1974	0.0181	0.1987	0.0195	batch
ENSMUSG00000007617	0.0518	0.1718	0.0619	0.1819	group
ENSMUSG00000073888	0.0155	0.0296	0.0167	0.0307	group
ENSMUSG00000057719	0.0241	0.0316	0.0257	0.0333	group
ENSMUSG00000107726	0.0915	0.1624	0.1043	0.1753	group
ENSMUSG00000042599	0.0024	0.1666	0.0048	0.1691	group
ENSMUSG00000075602	0.0087	0.0385	0.0095	0.0393	group
ENSMUSG00000010086	0.0000	0.1153	0.0003	0.1156	group
ENSMUSG00000081787	0.0556	0.0164	0.0541	0.0150	batch
ENSMUSG00000040016	0.1447	0.0196	0.1397	0.0146	batch
ENSMUSG00000067916	0.3712	0.0640	0.3801	0.0729	batch
ENSMUSG00000118219	0.0518	0.0059	0.0526	0.0067	batch
ENSMUSG00000054162	0.3999	0.0203	0.3941	0.0145	batch
ENSMUSG00000032057	0.0067	0.0762	0.0069	0.0764	group
ENSMUSG00000003573	0.1814	0.0367	0.1751	0.0305	batch
ENSMUSG00000070392	0.2943	0.0532	0.2833	0.0422	batch
ENSMUSG00000024112	0.0505	0.0385	0.0547	0.0427	batch
ENSMUSG00000042644	0.0393	0.0975	0.0443	0.1026	group
ENSMUSG00000042625	0.0317	0.1180	0.0374	0.1237	group
ENSMUSG00000025316	0.0125	0.1519	0.0085	0.1479	group
ENSMUSG00000112433	0.0216	0.0834	0.0244	0.0862	group
ENSMUSG00000097331	0.1229	0.0850	0.1327	0.0948	batch
ENSMUSG00000060969	0.0310	0.1009	0.0370	0.1069	group
ENSMUSG00000040569	0.0989	0.0063	0.0995	0.0069	batch
ENSMUSG00000074796	0.0011	0.0272	0.0014	0.0274	group
ENSMUSG00000037727	0.0020	0.0889	0.0034	0.0904	group
ENSMUSG00000066571	0.0018	0.0391	0.0011	0.0384	group
ENSMUSG00000026384	0.4261	0.0499	0.4421	0.0659	batch
ENSMUSG00000021908	0.1710	0.0075	0.1697	0.0063	batch
ENSMUSG00000107585	0.0024	0.0491	0.0014	0.0482	group
ENSMUSG00000117183	0.0836	0.1312	0.0947	0.1424	group
ENSMUSG00000048445	0.1240	0.0087	0.1277	0.0124	batch
ENSMUSG00000075324	0.1558	0.0291	0.1506	0.0239	batch
ENSMUSG00000022297	0.0084	0.0119	0.0075	0.0109	group
ENSMUSG00000027829	0.2754	0.0863	0.2893	0.1002	batch
ENSMUSG00000000305	0.1032	0.0190	0.0989	0.0147	batch
ENSMUSG00000036446	0.0005	0.0186	0.0003	0.0184	group
ENSMUSG00000047909	0.1557	0.1018	0.1686	0.1146	batch
ENSMUSG00000018537	0.2365	0.0285	0.2411	0.0331	batch
ENSMUSG00000031561	0.0227	0.0026	0.0220	0.0019	batch
ENSMUSG00000022610	0.0398	0.0185	0.0415	0.0202	batch
ENSMUSG00000054457	0.0337	0.0699	0.0290	0.0652	group
ENSMUSG00000021699	0.0169	0.0135	0.0174	0.0140	batch
ENSMUSG00000024843	0.0006	0.1781	0.0000	0.1775	group
ENSMUSG00000001998	0.0436	0.1200	0.0514	0.1278	group
ENSMUSG00000046516	0.1948	0.0885	0.2088	0.1024	batch
ENSMUSG00000060862	0.0529	0.2746	0.0421	0.2638	group
ENSMUSG00000062393	0.0124	0.1904	0.0179	0.1959	group
ENSMUSG00000059901	0.0665	0.0701	0.0611	0.0647	group
ENSMUSG00000060962	0.0257	0.1067	0.0266	0.1076	group
ENSMUSG00000070858	0.3590	0.1143	0.3732	0.1285	batch
ENSMUSG00000037362	0.0445	0.0729	0.0398	0.0682	group
ENSMUSG00000027004	0.1261	0.0356	0.1198	0.0292	batch
ENSMUSG00000083892	0.4397	0.0667	0.4285	0.0555	batch
ENSMUSG00000037166	0.2540	0.0045	0.2578	0.0082	batch
ENSMUSG00000023391	0.1249	0.1118	0.1252	0.1120	batch
ENSMUSG00000001082	0.0578	0.0829	0.0639	0.0890	group
ENSMUSG00000104318	0.0641	0.0083	0.0621	0.0063	batch
ENSMUSG00000083736	0.0661	0.0023	0.0658	0.0020	batch
ENSMUSG00000021496	0.7821	0.0058	0.7896	0.0132	batch
ENSMUSG00000057265	0.0304	0.0803	0.0355	0.0854	group
ENSMUSG00000022483	0.0073	0.1111	0.0102	0.1141	group
ENSMUSG00000056947	0.0041	0.0047	0.0037	0.0044	group
ENSMUSG00000034755	0.2033	0.0131	0.2036	0.0134	batch
ENSMUSG00000020848	0.0967	0.0115	0.0937	0.0085	batch
ENSMUSG00000048442	0.0142	0.1614	0.0127	0.1599	group
ENSMUSG00000053007	0.1349	0.0238	0.1358	0.0247	batch
ENSMUSG00000041695	0.1115	0.0561	0.1201	0.0647	batch
ENSMUSG00000025531	0.1351	0.0395	0.1409	0.0453	batch
ENSMUSG00000035539	0.0015	0.0675	0.0012	0.0672	group
ENSMUSG00000062866	0.0054	0.0467	0.0063	0.0476	group
ENSMUSG00000022617	0.1337	0.1111	0.1438	0.1212	batch
ENSMUSG00000021431	0.0770	0.1582	0.0869	0.1681	group
ENSMUSG00000071112	0.0016	0.0368	0.0024	0.0376	group
ENSMUSG00000021478	0.1894	0.0615	0.1799	0.0521	batch
ENSMUSG00000100862	0.3792	0.0273	0.3908	0.0389	batch
ENSMUSG00000021448	0.0022	0.0225	0.0016	0.0218	group
ENSMUSG00000025243	0.0248	0.0200	0.0272	0.0225	batch
ENSMUSG00000044595	0.0090	0.1087	0.0063	0.1059	group
ENSMUSG00000036916	0.3096	0.1369	0.3320	0.1594	batch
ENSMUSG00000107000	0.1165	0.0830	0.1271	0.0936	batch
ENSMUSG00000061665	0.4180	0.0693	0.4368	0.0882	batch
ENSMUSG00000108100	0.0431	0.0656	0.0409	0.0634	group
ENSMUSG00000081944	0.0741	0.0814	0.0825	0.0897	group
ENSMUSG00000024670	0.0425	0.0030	0.0416	0.0021	batch
ENSMUSG00000024043	0.0060	0.0864	0.0058	0.0863	group
ENSMUSG00000027637	0.8667	0.0083	0.8698	0.0114	batch
ENSMUSG00000064080	0.0153	0.1086	0.0195	0.1128	group
ENSMUSG00000064349	0.0614	0.1027	0.0699	0.1113	group
ENSMUSG00000041075	0.0098	0.0743	0.0086	0.0731	group
ENSMUSG00000032637	0.2004	0.1519	0.2178	0.1693	batch
ENSMUSG00000038781	0.0103	0.1476	0.0113	0.1486	group
ENSMUSG00000055214	0.0008	0.0687	0.0003	0.0682	group
ENSMUSG00000031167	0.4319	0.0133	0.4254	0.0067	batch
ENSMUSG00000049112	0.0178	0.0354	0.0163	0.0339	group
ENSMUSG00000038860	0.0884	0.0157	0.0857	0.0130	batch
ENSMUSG00000034071	0.1111	0.0454	0.1068	0.0411	batch
ENSMUSG00000082953	0.0383	0.0187	0.0380	0.0184	batch
ENSMUSG00000007207	0.0727	0.0139	0.0705	0.0117	batch
ENSMUSG00000026167	0.0132	0.0093	0.0139	0.0099	batch
ENSMUSG00000028174	0.0025	0.0088	0.0025	0.0088	group
ENSMUSG00000028572	0.2474	0.1162	0.2656	0.1344	batch
ENSMUSG00000021255	0.0094	0.0608	0.0100	0.0614	group
ENSMUSG00000003849	0.0179	0.0648	0.0170	0.0639	group
ENSMUSG00000037280	0.0871	0.0063	0.0876	0.0068	batch
ENSMUSG00000041679	0.2130	0.0034	0.2163	0.0067	batch
ENSMUSG00000078486	0.0274	0.1267	0.0331	0.1323	group
ENSMUSG00000043301	0.0047	0.0288	0.0036	0.0277	group
ENSMUSG00000025723	0.0002	0.2244	0.0011	0.2253	group
ENSMUSG00000023224	0.0000	0.0333	0.0002	0.0335	group
ENSMUSG00000079297	0.1227	0.0171	0.1249	0.0193	batch
ENSMUSG00000020674	0.0157	0.1787	0.0217	0.1846	group
ENSMUSG00000028289	0.0312	0.0020	0.0315	0.0023	batch
ENSMUSG00000037370	0.0217	0.0461	0.0245	0.0490	group
ENSMUSG00000020358	0.7444	0.0012	0.7460	0.0028	batch
ENSMUSG00000044320	0.0041	0.0186	0.0044	0.0189	group
ENSMUSG00000036264	0.3257	0.0303	0.3220	0.0266	batch
ENSMUSG00000020182	0.1679	0.1569	0.1849	0.1740	batch
ENSMUSG00000108943	0.3414	0.0197	0.3459	0.0242	batch
ENSMUSG00000040136	0.0207	0.0391	0.0236	0.0420	group
ENSMUSG00000050732	0.0396	0.0453	0.0406	0.0463	group
ENSMUSG00000056145	0.5175	0.0188	0.5287	0.0300	batch
ENSMUSG00000034209	0.2081	0.0278	0.2011	0.0207	batch
ENSMUSG00000021823	0.0806	0.0752	0.0746	0.0692	batch
ENSMUSG00000039057	0.0498	0.0547	0.0509	0.0558	group
ENSMUSG00000008307	0.1821	0.1209	0.1974	0.1362	batch
ENSMUSG00000038608	0.0081	0.0340	0.0071	0.0329	group
ENSMUSG00000034796	0.0646	0.0530	0.0589	0.0473	batch
ENSMUSG00000071637	0.4205	0.0170	0.4248	0.0212	batch
ENSMUSG00000001025	0.2000	0.0178	0.2000	0.0178	batch
ENSMUSG00000025888	0.1340	0.0650	0.1286	0.0596	batch
ENSMUSG00000034911	0.0065	0.0579	0.0079	0.0592	group
ENSMUSG00000074896	0.1602	0.0296	0.1566	0.0260	batch
ENSMUSG00000004896	0.0200	0.1240	0.0249	0.1288	group
ENSMUSG00000040706	0.0005	0.0754	0.0001	0.0750	group
ENSMUSG00000040978	0.0383	0.1137	0.0400	0.1153	group
ENSMUSG00000071379	0.0067	0.0398	0.0052	0.0383	group
ENSMUSG00000074252	0.0765	0.0555	0.0835	0.0625	batch
ENSMUSG00000062588	0.0586	0.1380	0.0530	0.1323	group
ENSMUSG00000005682	0.0634	0.1013	0.0709	0.1087	group
ENSMUSG00000078651	0.0000	0.1571	0.0003	0.1574	group
ENSMUSG00000115936	0.1868	0.0745	0.1753	0.0630	batch
ENSMUSG00000114951	0.0513	0.0124	0.0495	0.0105	batch
ENSMUSG00000030223	0.0150	0.0642	0.0153	0.0645	group
ENSMUSG00000035473	0.0253	0.0314	0.0267	0.0328	group
ENSMUSG00000052726	0.3445	0.0628	0.3607	0.0790	batch
ENSMUSG00000085547	0.0985	0.0571	0.0913	0.0499	batch
ENSMUSG00000114940	0.0518	0.0123	0.0499	0.0104	batch
ENSMUSG00000101872	0.0712	0.1139	0.0787	0.1214	group
ENSMUSG00000074006	0.0331	0.1568	0.0388	0.1625	group
ENSMUSG00000097789	0.0754	0.0691	0.0684	0.0621	batch
ENSMUSG00000051811	0.0533	0.0728	0.0577	0.0772	group
ENSMUSG00000022865	0.4424	0.0641	0.4602	0.0819	batch
ENSMUSG00000027073	0.0329	0.0666	0.0305	0.0642	group
ENSMUSG00000042501	0.1022	0.0590	0.1080	0.0648	batch
ENSMUSG00000027171	0.0161	0.0764	0.0181	0.0784	group
ENSMUSG00000032323	0.0554	0.0259	0.0594	0.0299	batch
ENSMUSG00000020908	0.0163	0.0056	0.0154	0.0047	batch
ENSMUSG00000057068	0.0087	0.0438	0.0094	0.0445	group
ENSMUSG00000025036	0.0863	0.1018	0.0961	0.1117	group
ENSMUSG00000027716	0.0001	0.0179	0.0003	0.0181	group
ENSMUSG00000032033	0.0933	0.0714	0.0859	0.0640	batch
ENSMUSG00000103037	0.0003	0.0189	0.0005	0.0191	group
ENSMUSG00000029862	0.0663	0.2105	0.0781	0.2223	group
ENSMUSG00000039787	0.0105	0.0331	0.0120	0.0346	group
ENSMUSG00000052942	0.0148	0.1104	0.0187	0.1142	group
ENSMUSG00000081752	0.2663	0.0129	0.2632	0.0098	batch
ENSMUSG00000096862	0.1248	0.0364	0.1294	0.0410	batch
ENSMUSG00000041308	0.0008	0.1499	0.0021	0.1512	group
ENSMUSG00000033965	0.0189	0.0503	0.0195	0.0509	group
ENSMUSG00000026632	0.0479	0.0413	0.0525	0.0458	batch
ENSMUSG00000104222	0.0026	0.0341	0.0017	0.0332	group
ENSMUSG00000044447	0.0034	0.0435	0.0026	0.0427	group
ENSMUSG00000021751	0.0160	0.0287	0.0149	0.0276	group
ENSMUSG00000078868	0.0000	0.1118	0.0001	0.1119	group
ENSMUSG00000055862	0.0182	0.0328	0.0199	0.0345	group
ENSMUSG00000098506	0.0388	0.0350	0.0361	0.0322	batch
ENSMUSG00000022419	0.2611	0.0538	0.2742	0.0668	batch
ENSMUSG00000050122	0.0156	0.0011	0.0153	0.0008	batch
ENSMUSG00000031229	0.3040	0.0653	0.3189	0.0801	batch
ENSMUSG00000075410	0.0110	0.0994	0.0123	0.1008	group
ENSMUSG00000024008	0.1834	0.0483	0.1744	0.0393	batch
ENSMUSG00000075502	0.0455	0.0020	0.0458	0.0023	batch
ENSMUSG00000029755	0.1013	0.0251	0.1035	0.0273	batch
ENSMUSG00000003032	0.0021	0.0556	0.0014	0.0550	group
ENSMUSG00000055320	0.0013	0.1499	0.0003	0.1489	group
ENSMUSG00000025927	0.0482	0.0330	0.0511	0.0358	batch
ENSMUSG00000042604	0.0506	0.0217	0.0476	0.0188	batch
ENSMUSG00000044921	0.0014	0.0466	0.0013	0.0465	group
ENSMUSG00000086889	0.1243	0.0052	0.1254	0.0063	batch
ENSMUSG00000095742	0.3222	0.0110	0.3268	0.0156	batch
ENSMUSG00000068758	0.0250	0.1412	0.0277	0.1439	group
ENSMUSG00000095098	0.6661	0.0563	0.6681	0.0583	batch
ENSMUSG00000020090	0.0309	0.0076	0.0324	0.0091	batch
ENSMUSG00000032327	0.0013	0.0461	0.0008	0.0456	group
