gene	R2_batch	R2_group	uniq_batch	uniq_group	dominant
ENSMUSG00000094840	0.1853	0.0517	0.1935	0.0600	batch
ENSMUSG00000049382	0.0056	0.0766	0.0060	0.0770	group
ENSMUSG00000109505	0.1242	0.0721	0.1312	0.0792	batch
ENSMUSG00000029718	0.0091	0.0188	0.0099	0.0195	group
ENSMUSG00000076609	0.0978	0.0085	0.0965	0.0073	batch
ENSMUSG00000106252	0.8569	0.0053	0.8642	0.0126	batch
ENSMUSG00000091243	0.0029	0.0304	0.0037	0.0312	group
ENSMUSG00000024186	0.0896	0.1055	0.0996	0.1155	group
ENSMUSG00000000214	0.0543	0.1305	0.0575	0.1338	group
ENSMUSG00000097391	0.0566	0.1496	0.0653	0.1583	group
ENSMUSG00000064179	0.0463	0.0640	0.0514	0.0691	group
ENSMUSG00000010080	0.0037	0.0571	0.0037	0.0571	group
ENSMUSG00000119584	0.1510	0.2535	0.1337	0.2362	group
ENSMUSG00000086370	0.1934	0.1935	0.2131	0.2132	group
ENSMUSG00000085028	0.0794	0.1594	0.0910	0.1711	group
ENSMUSG00000073940	0.0083	0.0098	0.0091	0.0106	group
ENSMUSG00000052305	0.0028	0.0087	0.0033	0.0092	group
ENSMUSG00000022512	0.1057	0.0434	0.1032	0.0409	batch
ENSMUSG00000090086	0.1842	0.1272	0.1987	0.1417	batch
ENSMUSG00000098973	0.4028	0.1031	0.4229	0.1232	batch
ENSMUSG00000020374	0.1119	0.0350	0.1084	0.0316	batch
ENSMUSG00000092981	0.1494	0.1184	0.1622	0.1312	batch
ENSMUSG00000026837	0.1836	0.1230	0.1985	0.1380	batch
ENSMUSG00000115632	0.1074	0.0873	0.1156	0.0955	batch
ENSMUSG00000024136	0.0044	0.1775	0.0074	0.1805	group
ENSMUSG00000084904	0.1032	0.1471	0.1145	0.1583	group
ENSMUSG00000024871	0.0846	0.2495	0.0938	0.2586	group
ENSMUSG00000026822	0.0594	0.0645	0.0556	0.0607	group
ENSMUSG00000048450	0.0009	0.0923	0.0010	0.0924	group
ENSMUSG00000061048	0.0002	0.0696	0.0002	0.0695	group
ENSMUSG00000041193	0.0128	0.0785	0.0123	0.0781	group
ENSMUSG00000021948	0.0155	0.0064	0.0165	0.0074	batch
ENSMUSG00000041559	0.2091	0.0199	0.2156	0.0264	batch
ENSMUSG00000011171	0.0096	0.0226	0.0102	0.0232	group
ENSMUSG00000030792	0.1082	0.0027	0.1068	0.0013	batch
ENSMUSG00000032446	0.0159	0.0718	0.0186	0.0745	group
ENSMUSG00000024985	0.0238	0.0324	0.0260	0.0346	group
ENSMUSG00000039004	0.0068	0.0416	0.0079	0.0427	group
ENSMUSG00000035545	0.2216	0.1290	0.2383	0.1458	batch
ENSMUSG00000076498	0.0105	0.0033	0.0100	0.0029	batch
ENSMUSG00000035711	0.0015	0.2018	0.0035	0.2038	group
ENSMUSG00000105700	0.0441	0.0383	0.0469	0.0411	batch
ENSMUSG00000039323	0.0050	0.0300	0.0050	0.0300	group
ENSMUSG00000025473	0.0041	0.1680	0.0068	0.1707	group
ENSMUSG00000001128	0.0189	0.1472	0.0234	0.1518	group
ENSMUSG00000040856	0.0001	0.0521	0.0004	0.0524	group
ENSMUSG00000067571	0.0843	0.1260	0.0902	0.1318	group
ENSMUSG00000101609	0.1183	0.1173	0.1298	0.1288	batch
ENSMUSG00000018822	0.0023	0.1138	0.0042	0.1156	group
ENSMUSG00000063354	0.0007	0.0813	0.0008	0.0814	group
ENSMUSG00000035202	0.2598	0.1663	0.2800	0.1865	batch
ENSMUSG00000020836	0.1340	0.0938	0.1442	0.1040	batch
ENSMUSG00000032572	0.0059	0.1422	0.0089	0.1452	group
ENSMUSG00000092746	0.4950	0.1955	0.4655	0.1660	batch
ENSMUSG00000085334	0.1694	0.1695	0.1870	0.1871	group
ENSMUSG00000044177	0.0465	0.0508	0.0460	0.0503	group
ENSMUSG00000096929	0.0453	0.2010	0.0551	0.2108	group
ENSMUSG00000048583	0.0297	0.0248	0.0307	0.0259	batch
ENSMUSG00002076348	0.4577	0.1244	0.4393	0.1060	batch
ENSMUSG00000038805	0.0012	0.0820	0.0023	0.0831	group
ENSMUSG00000001119	0.1649	0.1003	0.1774	0.1128	batch
ENSMUSG00000109095	0.0476	0.0471	0.0508	0.0503	batch
ENSMUSG00000050315	0.0523	0.0075	0.0539	0.0092	batch
ENSMUSG00000050931	0.0015	0.0622	0.0014	0.0621	group
ENSMUSG00000052861	0.0000	0.1014	0.0000	0.1014	group
ENSMUSG00000039087	0.1266	0.1947	0.1429	0.2110	group
ENSMUSG00000002831	0.0052	0.0511	0.0055	0.0514	group
ENSMUSG00000085925	0.1421	0.0773	0.1522	0.0875	batch
ENSMUSG00000020428	0.0360	0.0561	0.0318	0.0519	group
ENSMUSG00000025488	0.0009	0.0364	0.0012	0.0368	group
ENSMUSG00000096883	0.0005	0.1104	0.0001	0.1101	group
ENSMUSG00002075967	0.8822	0.0011	0.8837	0.0026	batch
ENSMUSG00000083076	0.8491	0.0042	0.8566	0.0117	batch
ENSMUSG00000091509	0.6357	0.0051	0.6415	0.0109	batch
ENSMUSG00000067158	0.0103	0.0515	0.0105	0.0517	group
ENSMUSG00000015653	0.0061	0.0346	0.0059	0.0345	group
ENSMUSG00000035299	0.0448	0.0131	0.0459	0.0143	batch
ENSMUSG00000059049	0.0001	0.0529	0.0003	0.0531	group
ENSMUSG00000068696	0.1387	0.0407	0.1315	0.0334	batch
ENSMUSG00000100826	0.3219	0.1057	0.3416	0.1254	batch
ENSMUSG00000107021	0.0577	0.0530	0.0620	0.0574	batch
ENSMUSG00000097156	0.0965	0.1386	0.1076	0.1496	group
ENSMUSG00000048562	0.0696	0.0936	0.0745	0.0985	group
ENSMUSG00000046844	0.0062	0.0528	0.0048	0.0515	group
ENSMUSG00000062296	0.1299	0.1485	0.1440	0.1626	group
ENSMUSG00000085830	0.0958	0.1598	0.1085	0.1726	group
ENSMUSG00000108920	0.0609	0.0696	0.0655	0.0743	group
ENSMUSG00000025064	0.0010	0.0684	0.0011	0.0685	group
ENSMUSG00000057722	0.0434	0.0440	0.0459	0.0465	group
ENSMUSG00000021806	0.0073	0.0508	0.0075	0.0510	group
ENSMUSG00000106446	0.1054	0.0551	0.1107	0.0604	batch
ENSMUSG00000109362	0.2652	0.0454	0.2760	0.0562	batch
ENSMUSG00000025650	0.0770	0.1680	0.0872	0.1782	group
ENSMUSG00000021760	0.0061	0.0528	0.0060	0.0527	group
ENSMUSG00000026354	0.0035	0.0048	0.0037	0.0050	group
ENSMUSG00000047507	0.0061	0.1168	0.0092	0.1198	group
ENSMUSG00000027966	0.1722	0.1443	0.1872	0.1593	batch
ENSMUSG00000007653	0.0023	0.0163	0.0020	0.0160	group
ENSMUSG00000021763	0.0022	0.0484	0.0021	0.0484	group
ENSMUSG00000040441	0.0522	0.0334	0.0561	0.0373	batch
ENSMUSG00000086503	0.2667	0.1699	0.2895	0.1927	batch
ENSMUSG00000031355	0.2028	0.0363	0.1947	0.0282	batch
ENSMUSG00000029759	0.0006	0.0428	0.0006	0.0428	group
ENSMUSG00000030592	0.0791	0.1337	0.0894	0.1439	group
ENSMUSG00000022847	0.0558	0.1006	0.0628	0.1076	group
ENSMUSG00000089832	0.0218	0.1237	0.0267	0.1286	group
ENSMUSG00000109394	0.2394	0.0975	0.2526	0.1107	batch
ENSMUSG00000061859	0.0715	0.0037	0.0733	0.0056	batch
ENSMUSG00000041380	0.0010	0.0605	0.0009	0.0604	group
ENSMUSG00000109179	0.0846	0.1532	0.0948	0.1635	group
ENSMUSG00002075486	0.6567	0.0227	0.6698	0.0357	batch
ENSMUSG00000038859	0.0038	0.0475	0.0037	0.0474	group
ENSMUSG00000040809	0.0378	0.0673	0.0354	0.0649	group
ENSMUSG00000041390	0.0136	0.0548	0.0144	0.0556	group
ENSMUSG00000044681	0.0437	0.0576	0.0390	0.0529	group
ENSMUSG00000028871	0.0010	0.0113	0.0010	0.0112	group
ENSMUSG00000109536	0.4903	0.0687	0.5061	0.0846	batch
ENSMUSG00000021803	0.0349	0.0716	0.0384	0.0751	group
ENSMUSG00000021098	0.4108	0.0735	0.4295	0.0922	batch
ENSMUSG00000038677	0.0004	0.0372	0.0006	0.0375	group
ENSMUSG00000095041	0.0980	0.1092	0.1079	0.1192	group
ENSMUSG00000102386	0.1338	0.0479	0.1396	0.0537	batch
ENSMUSG00000019929	0.0118	0.0247	0.0104	0.0233	group
ENSMUSG00000019734	0.0762	0.2011	0.0888	0.2137	group
ENSMUSG00000037664	0.0031	0.0588	0.0037	0.0594	group
ENSMUSG00000032679	0.0058	0.0973	0.0051	0.0965	group
ENSMUSG00000082286	0.1128	0.1195	0.1241	0.1309	group
ENSMUSG00000039349	0.0704	0.0111	0.0682	0.0088	batch
ENSMUSG00000095366	0.0002	0.0255	0.0000	0.0253	group
ENSMUSG00000002625	0.1135	0.1017	0.1226	0.1108	batch
ENSMUSG00000071753	0.5229	0.1024	0.5482	0.1277	batch
ENSMUSG00000094410	0.0124	0.0742	0.0157	0.0775	group
ENSMUSG00000050010	0.0733	0.1074	0.0772	0.1113	group
ENSMUSG00000080316	0.1969	0.0965	0.2107	0.1104	batch
ENSMUSG00000105095	0.0410	0.0903	0.0470	0.0963	group
ENSMUSG00000052387	0.0185	0.0351	0.0189	0.0355	group
ENSMUSG00000026247	0.0114	0.0957	0.0083	0.0926	group
ENSMUSG00000025145	0.0497	0.1392	0.0573	0.1468	group
ENSMUSG00000110218	0.0002	0.1756	0.0000	0.1754	group
ENSMUSG00000057286	0.0187	0.0599	0.0196	0.0608	group
ENSMUSG00000022602	0.0697	0.0098	0.0697	0.0098	batch
ENSMUSG00000044976	0.0020	0.0390	0.0024	0.0394	group
ENSMUSG00000105333	0.8017	0.0034	0.8084	0.0100	batch
ENSMUSG00000090667	0.0967	0.0532	0.0897	0.0462	batch
ENSMUSG00000041323	0.0491	0.1170	0.0483	0.1162	group
ENSMUSG00000024830	0.1115	0.1075	0.1204	0.1164	batch
ENSMUSG00000037243	0.0609	0.1258	0.0687	0.1335	group
ENSMUSG00000090137	0.8066	0.0499	0.8015	0.0449	batch
ENSMUSG00000032514	0.0006	0.0870	0.0007	0.0870	group
ENSMUSG00000104814	0.1521	0.0966	0.1639	0.1084	batch
ENSMUSG00000006154	0.1368	0.1250	0.1509	0.1391	batch
ENSMUSG00000030500	0.0036	0.0250	0.0027	0.0241	group
ENSMUSG00000043020	0.0006	0.0798	0.0008	0.0800	group
ENSMUSG00000095134	0.0328	0.0264	0.0338	0.0273	batch
ENSMUSG00000108049	0.2186	0.1106	0.2350	0.1270	batch
ENSMUSG00000058626	0.0037	0.0208	0.0028	0.0200	group
ENSMUSG00000087075	0.0082	0.0177	0.0076	0.0171	group
ENSMUSG00000049353	0.0008	0.0387	0.0008	0.0387	group
ENSMUSG00000079465	0.0090	0.0399	0.0098	0.0407	group
ENSMUSG00000015354	0.0102	0.0555	0.0106	0.0558	group
ENSMUSG00000070306	0.0767	0.1591	0.0771	0.1595	group
ENSMUSG00000021495	0.0784	0.1222	0.0874	0.1312	group
ENSMUSG00000031351	0.0000	0.0566	0.0000	0.0566	group
ENSMUSG00000034917	0.0219	0.0790	0.0192	0.0763	group
ENSMUSG00000061086	0.0228	0.0190	0.0207	0.0170	batch
ENSMUSG00000075707	0.0232	0.0028	0.0237	0.0034	batch
ENSMUSG00000003657	0.0692	0.0167	0.0699	0.0174	batch
ENSMUSG00000020140	0.0383	0.0804	0.0426	0.0847	group
ENSMUSG00000062372	0.1181	0.0123	0.1169	0.0111	batch
ENSMUSG00000028248	0.2943	0.1284	0.3138	0.1480	batch
ENSMUSG00000036151	0.0069	0.1278	0.0097	0.1307	group
ENSMUSG00000102331	0.0803	0.0577	0.0852	0.0627	batch
ENSMUSG00000024299	0.0848	0.1614	0.0956	0.1722	group
ENSMUSG00000113852	0.1462	0.1230	0.1601	0.1370	batch
ENSMUSG00000095123	0.1900	0.1259	0.2064	0.1423	batch
ENSMUSG00000072770	0.0512	0.1431	0.0587	0.1506	group
ENSMUSG00000032373	0.0277	0.0950	0.0255	0.0928	group
ENSMUSG00000022651	0.0366	0.0598	0.0345	0.0576	group
ENSMUSG00000035355	0.2270	0.0036	0.2273	0.0040	batch
ENSMUSG00000021696	0.0001	0.0693	0.0002	0.0694	group
ENSMUSG00000038630	0.0057	0.0034	0.0059	0.0036	batch
ENSMUSG00000019851	0.0059	0.0535	0.0058	0.0534	group
ENSMUSG00000023764	0.0948	0.0970	0.1038	0.1060	group
ENSMUSG00000022098	0.0352	0.1389	0.0425	0.1461	group
ENSMUSG00000053153	0.0003	0.1178	0.0005	0.1180	group
ENSMUSG00000073125	0.0432	0.0336	0.0405	0.0310	batch
ENSMUSG00000040701	0.0392	0.1508	0.0462	0.1578	group
ENSMUSG00000074264	0.0944	0.1508	0.1052	0.1616	group
ENSMUSG00000074340	0.0870	0.1035	0.0966	0.1131	group
